,county,year,minimum_wage,median_income,population,pct_white,pct_black,pct_latino,pct_asian,Age 18-59 CalFresh
0,Alameda,2016,10.0,115400.0,1650950,0.31759852606693445,0.10793322417699062,0.23915170173620492,0.33531654801987,54015
1,Butte,2016,10.0,59000.0,226231,0.7064034836901241,0.018482494832120073,0.2240070873781857,0.051106934099570164,18169
2,Contra Costa,2016,10.0,110210.0,1137268,0.4444625423840819,0.09271770968195302,0.26985548226407086,0.1929642656698942,30804
3,El Dorado,2016,10.0,98020.0,185976,0.7826844113107545,0.008823786365357173,0.16098313870526224,0.04750866361862605,7202
4,Fresno,2016,10.0,60000.0,976830,0.27684139487309267,0.04331087279744393,0.5778927166703574,0.101955015659106,102071
5,Humboldt,2016,10.0,59500.0,136290,0.7631274290912098,0.01403291160175308,0.1963698007111552,0.026469858595881916,12589
6,Imperial,2016,10.0,64000.0,180179,0.11008639333310688,0.02351189465221871,0.8504761257741997,0.015925586240474653,19828
7,Kern,2016,10.0,62000.0,880856,0.31081765548679685,0.049834564815183925,0.5944188195126755,0.04492896018534369,70514
8,Kings,2016,10.0,78200.0,149382,0.2485855926506834,0.04853097692135335,0.674693311673762,0.02819011875420121,10922
9,Los Angeles,2016,10.0,75000.0,10105708,0.29875138696344056,0.0883929674226952,0.4493172167967999,0.16353842881706432,489436
10,Madera,2016,10.0,68600.0,153956,0.3254724960921376,0.028853896697094986,0.6234647683365024,0.02220883887426495,10929
11,Marin,2016,10.0,148000.0,260562,0.731246612034055,0.028124103185485156,0.17441248684672045,0.06621679793373936,4468
12,Merced,2016,10.0,55800.0,267628,0.24184542713337384,0.027489557178508234,0.6650921223099941,0.06557289337812378,23839
13,Napa,2016,10.0,110000.0,140840,0.5586529536256637,0.018824490402108936,0.3408606542160175,0.08166190175620985,2946
14,Orange,2016,10.0,99300.0,3164986,0.41931368893429766,0.016672388389447283,0.33974221038090247,0.2242717122953526,101850
15,Placer,2016,10.0,105700.0,378943,0.7127026718269791,0.01682116954078235,0.18470964883683996,0.08576650979539863,8983
16,Riverside,2016,10.0,73700.0,2380081,0.3612233745729118,0.06361489039219578,0.5057640773337772,0.06939765770111525,128786
17,Sacramento,2016,10.0,75000.0,1510987,0.44937552688811905,0.09681564760305754,0.27538307865598366,0.1784257468528397,105972
18,San Bernardino,2016,10.0,70000.0,2131960,0.2814287100844414,0.08160875473163157,0.5590638648937203,0.07789867029020674,180957
19,San Diego,2016,10.0,88300.0,3306089,0.4595195982418559,0.04603112669541782,0.3721676283401249,0.12228164672260135,135994
20,San Francisco,2016,13.0,132300.0,871512,0.4233159640559808,0.05726852332634897,0.161706546771819,0.3577089658458512,27523
21,San Joaquin,2016,10.0,71800.0,732809,0.2995870904415196,0.07450102624550176,0.45714804460160824,0.1687638387113704,51577
22,San Luis Obispo,2016,10.0,88000.0,281803,0.6788792461817857,0.01760621036648903,0.266299979159844,0.03721456429188127,9132
23,San Mateo,2016,10.0,143000.0,767906,0.4226392454515013,0.024108438441790378,0.23144184618819064,0.3218104699185177,10858
24,Santa Barbara,2016,10.0,90000.0,444340,0.4383873516308337,0.0154551701891926,0.48933424961081584,0.05682322856915791,15072
25,Santa Clara,2016,10.0,135520.0,1928368,0.32690978612086663,0.024372475034244404,0.2443703393326312,0.4043473995122578,43715
26,Santa Cruz,2016,10.0,105300.0,274396,0.5606877231446168,0.010752810956067631,0.3811024581116161,0.04745700778769955,11881
27,Shasta,2016,10.0,61000.0,178571,0.8016234492853557,0.01059718013391642,0.1548506898449739,0.03292868073575399,13777
28,Solano,2016,10.0,92000.0,438858,0.3815042185891747,0.14483782085603988,0.30892639289233126,0.1647315676624542,21221
29,Sonoma,2016,10.0,94850.0,502547,0.6444331539979424,0.016313055504022397,0.29205175990420457,0.047202030593830636,15130
30,Stanislaus,2016,10.0,65100.0,539255,0.4008604317662106,0.026287740785240883,0.5137010193403356,0.05915080810821286,41704
31,Tulare,2016,10.0,53900.0,459235,0.25738306721887083,0.010620164329564674,0.7012682052033257,0.03072856324823885,51327
32,Ventura,2016,10.0,98800.0,847323,0.456268654708904,0.017286136486745908,0.4501793175295877,0.07626589127476238,31723
33,Yolo,2016,10.0,85700.0,215627,0.4424329943973838,0.02587426121391672,0.3810076769240694,0.15068506746463006,10828
34,Alameda,2017,10.5,123500.0,1660196,0.31351205919092917,0.10580827007462926,0.23960219083309311,0.34107747990134846,50519
35,Butte,2017,10.5,62900.0,228696,0.697429124190788,0.018667683607411265,0.2319322494233202,0.05197094277848054,17677
36,Contra Costa,2017,10.5,119000.0,1145535,0.4389360248665681,0.09249245135264726,0.27176796633608746,0.19680355744469724,27961
37,El Dorado,2017,10.5,105000.0,188679,0.7786973171238091,0.008639184294908763,0.16464624328127522,0.048017255300006924,6560
38,Fresno,2017,10.5,64450.0,985238,0.2703514075450652,0.042687284640843974,0.5843046404044907,0.10265666740960017,95415
39,Humboldt,2017,10.5,68600.0,136507,0.754715262713408,0.013918097666793621,0.20488002781963602,0.02648661180016228,12167
40,Imperial,2017,10.5,75000.0,181649,0.10650780654451,0.022756147830260594,0.8549987294954685,0.015737316129760863,19230
41,Kern,2017,10.5,61000.0,887356,0.30216570467409737,0.04926518657072332,0.6033310301346789,0.045238078620500326,67421
42,Kings,2017,10.5,77100.0,149665,0.2361776260081345,0.04846680270409084,0.6872666194700093,0.028088951817765377,10553
43,Los Angeles,2017,12.0,80000.0,10103711,0.2991284603037766,0.08837248998432204,0.4465698339316477,0.16592921578025363,474008
44,Madera,2017,10.5,65800.0,155423,0.3174521077944061,0.028627851366237675,0.6318681318681318,0.022051908971224374,10261
45,Marin,2017,10.5,152400.0,259749,0.7295236038457231,0.027995072867175376,0.175753067460127,0.06672825582697445,4205
46,Merced,2017,10.5,56800.0,271096,0.23299654677667775,0.02726427137741057,0.6749714741912038,0.0647677076547078,22947
47,Napa,2017,10.5,112000.0,139878,0.5558832753393766,0.01857797822613163,0.3436627290512388,0.08187601738325294,2512
48,Orange,2017,10.5,103000.0,3174289,0.4148759076438641,0.016765206652708198,0.3397781689288674,0.22858071677456027,94185
49,Placer,2017,10.5,102000.0,385115,0.7059509246205243,0.016800061440224695,0.189202977656604,0.08804603628264698,8103
50,Riverside,2017,10.5,79000.0,2414964,0.3554877495082788,0.0636773427395857,0.5104431794237936,0.07039172832834192,120072
51,Sacramento,2017,10.5,80650.0,1527301,0.44311259551897886,0.09606861221435561,0.27974934472190516,0.18106944754476037,101425
52,San Bernardino,2017,10.5,74000.0,2150945,0.27484018788832004,0.08106565194373379,0.5645617787480991,0.07953238141984707,164951
53,San Diego,2017,10.5,94000.0,3321237,0.45451335587366887,0.04570393983373415,0.3764418593038483,0.12334084498874863,125134
54,San Francisco,2017,14.0,143510.0,878040,0.4223683746560493,0.05672343752469818,0.16198237173056884,0.3589258160886836,25906
55,San Joaquin,2017,10.5,73000.0,743296,0.29217160833132755,0.07438385455441056,0.4626352497327191,0.17080928738154277,46993
56,San Luis Obispo,2017,10.5,97100.0,282481,0.673027686811551,0.01758707948794284,0.27178475736826435,0.03760047633224174,8476
57,San Mateo,2017,10.5,156500.0,768901,0.41968958155839486,0.023915132027536354,0.2285497956525801,0.3278454907614887,9557
58,Santa Barbara,2017,10.5,90900.0,445298,0.4317080790230756,0.015337880999118753,0.4954189183518364,0.05753512162596926,14844
59,Santa Clara,2017,10.5,146150.0,1932510,0.3226453274068822,0.024265553151057488,0.24176159149427423,0.4113275279477861,37812
60,Santa Cruz,2017,10.5,113000.0,274856,0.5552006357988369,0.010553343675253518,0.3865916750089791,0.04765434551693044,11573
61,Shasta,2017,10.5,65000.0,179384,0.7950000602692832,0.010649582333867721,0.16108774002242018,0.03326261737442895,12855
62,Solano,2017,10.5,99000.0,443511,0.37607245572675,0.14381628267037538,0.3143576411183342,0.1657536204845404,19457
63,Sonoma,2017,10.5,99000.0,502469,0.6392293664930548,0.016280870400379097,0.29643411705471945,0.04805564605184662,13464
64,Stanislaus,2017,10.5,68000.0,544717,0.39191613721535795,0.02623302509704742,0.5219395283773749,0.05991130931021977,38928
65,Tulare,2017,10.5,53800.0,462308,0.24951121397476167,0.010591282305615254,0.7091838871438805,0.030713616575742547,49992
66,Ventura,2017,10.5,98000.0,849044,0.45120611954314005,0.01721243938182624,0.45458151575735833,0.07699992531767534,29547
67,Yolo,2017,10.5,90000.0,218477,0.43538252442483455,0.025705168610148123,0.3871877954617082,0.15172451150330918,9803
68,Alameda,2018,11.0,135000.0,1666756,0.31095626958478817,0.10452822279852489,0.2403277663005637,0.34418774131612323,47884
69,Butte,2018,11.0,67000.0,230339,0.6923596368295198,0.01865342010203185,0.23614406564079793,0.052842877427650356,17305
70,Contra Costa,2018,11.0,124800.0,1150519,0.4353279643399292,0.09230849859737422,0.27362098118523026,0.1987425558774663,26873
71,El Dorado,2018,11.0,105000.0,190746,0.7761255255871192,0.00852903975660616,0.16680910220034412,0.04853633245593045,5953
72,Fresno,2018,11.0,66000.0,991950,0.26579175079319295,0.04235826798613028,0.5885896416988129,0.1032603395218639,90733
73,Humboldt,2018,11.0,61500.0,136244,0.7498653318637242,0.013889464393744768,0.20928671467758375,0.026958489064947334,11759
74,Imperial,2018,11.0,67500.0,181523,0.10366817155756208,0.022099322799097064,0.8587020316027087,0.015530474040632054,18206
75,Kern,2018,11.0,66180.0,893758,0.29691186463752167,0.04898421609448423,0.608716970726918,0.04538694854107611,64269
76,Kings,2018,11.0,81100.0,151382,0.2299322521042907,0.04856634503524259,0.6933415451994799,0.028159857660986793,10288
77,Los Angeles,2018,13.25,85000.0,10073906,0.29818593219837936,0.08812545779725206,0.44660605951117927,0.1670825504931893,486906
78,Madera,2018,11.0,76000.0,156882,0.3115903898543292,0.02832155488799931,0.6379809901886994,0.022107065068972177,9834
79,Marin,2018,11.0,175500.0,259662,0.7277141006054886,0.027954856306439613,0.17695943946313877,0.06737160362493301,4205
80,Merced,2018,11.0,66300.0,274151,0.22768292182068678,0.026904825021561943,0.6809803123588206,0.06443194079893068,21890
81,Napa,2018,11.0,109000.0,138789,0.5527913942332956,0.01837658486784323,0.3467979851816264,0.0820340357172348,2243
82,Orange,2018,11.0,107000.0,3175973,0.41128259636123465,0.016769979189416164,0.34087808185931834,0.23106934259003084,87290
83,Placer,2018,11.0,109600.0,392330,0.7022266578553414,0.01682873211323452,0.19172184983883367,0.0892227601925904,7315
84,Riverside,2018,11.0,83000.0,2445789,0.3509950558537774,0.0636494921490104,0.5143707956732713,0.07098465632394098,111075
85,Sacramento,2018,11.0,85000.0,1538746,0.43927940637392665,0.09577135843062329,0.2823639514346334,0.18258528376081667,96234
86,San Bernardino,2018,11.0,80000.0,2166753,0.27051675812927245,0.08079457879096759,0.5681596982165511,0.08052896486320883,152270
87,San Diego,2018,11.0,99000.0,3333861,0.4509048919866258,0.04556157366775382,0.3796140448650959,0.12391948948052443,121601
88,San Francisco,2018,15.0,151050.0,880696,0.42219583131362093,0.05616941347552109,0.16222370334464373,0.35941105186621425,24275
89,San Joaquin,2018,11.0,78900.0,752491,0.2873584668317167,0.07418957530718798,0.46655939796825346,0.17189255989284188,43425
90,San Luis Obispo,2018,11.0,99000.0,283354,0.6692321114984648,0.0175385837704985,0.27567579608611875,0.03755350864491793,7927
91,San Mateo,2018,11.0,158500.0,768681,0.4172341824707279,0.02364200248555203,0.22788499584812497,0.3312388191955951,8539
92,Santa Barbara,2018,11.0,102000.0,445780,0.426548273916365,0.015188421411935717,0.5005654151679875,0.05769788950371177,16125
93,Santa Clara,2018,11.0,158000.0,1932337,0.3194975729542663,0.02416045570870706,0.24126268928098837,0.4150792820560383,32789
94,Santa Cruz,2018,11.0,135000.0,273841,0.5514300743738505,0.010393908793162368,0.3908831558779148,0.04729286095507236,11335
95,Shasta,2018,11.0,70300.0,179709,0.7913739172281039,0.010593118383060636,0.16448508180943214,0.03354788257940327,12897
96,Solano,2018,11.0,102000.0,445725,0.3727452112811628,0.14311531427471363,0.3179155837905477,0.1662238906535759,18283
97,Sonoma,2018,11.0,105000.0,498643,0.6352209045397778,0.016212119594803752,0.3000864617913602,0.04848051407405826,12298
98,Stanislaus,2018,11.0,69200.0,548126,0.38625380757162814,0.02608615990655704,0.5273973387078305,0.06026269381398438,36317
99,Tulare,2018,11.0,56000.0,464589,0.2446664576156341,0.010453282576327383,0.7143120284017025,0.030568231406336,47882
100,Ventura,2018,11.0,104000.0,848142,0.4473384948323738,0.01714372544550403,0.45817127059636636,0.07734650912575579,27742
101,Yolo,2018,11.0,97800.0,220118,0.4322322097011749,0.02568907896088899,0.3917902596798896,0.15028845165804655,9710
102,Alameda,2019,12.0,142000.0,1671329,0.30859870330927996,0.10337404476631114,0.24108992488674078,0.34693732703766816,49067
103,Butte,2019,12.0,73090.0,219186,0.6877296176193054,0.01879571396410421,0.24008123733660328,0.05339343107998716,16564
104,Contra Costa,2019,12.0,135050.0,1153526,0.4319410238337258,0.09215805069948498,0.2755025815363097,0.20039834393047953,26734
105,El Dorado,2019,12.0,119000.0,192843,0.7746490054208532,0.008301390369479916,0.16887432239334074,0.04817528181632607,5944
106,Fresno,2019,12.0,75500.0,999101,0.26150726923936335,0.042085286779447395,0.5926188311347304,0.10378861284645888,87111
107,Humboldt,2019,12.0,74620.0,135558,0.7457979162669648,0.013621841659645816,0.21345334123005313,0.02712690084333631,12933
108,Imperial,2019,12.0,73000.0,181215,0.10081935803804887,0.021086917320349834,0.8628223334234966,0.015271391218104769,17607
109,Kern,2019,12.0,70000.0,900202,0.291983582002451,0.048753946303948074,0.6137765628164624,0.0454859088771385,65069
110,Kings,2019,12.0,75700.0,152940,0.22487653690269405,0.0482476754878921,0.6991110656993972,0.02776472191001669,10439
111,Los Angeles,2019,14.25,93000.0,10039107,0.29719190978311805,0.08788068015338461,0.44686588967104673,0.16806152039245056,497924
112,Madera,2019,12.0,84100.0,157327,0.3059921349063521,0.027821102446177432,0.6443244684396454,0.021862294207825102,9621
113,Marin,2019,12.0,164700.0,258826,0.7261084574995882,0.02786359053055715,0.17831733801475935,0.06771061395509527,4306
114,Merced,2019,12.0,68800.0,277680,0.22255502642965433,0.026558759410838188,0.6867578763320877,0.06412833782741971,22713
115,Napa,2019,12.0,120000.0,137744,0.5497946418478465,0.01810919778439278,0.3499152191114963,0.08218094125626436,2224
116,Orange,2019,12.0,115000.0,3175692,0.40780921489319266,0.01677168109184484,0.3420722555921408,0.23334684842282175,79099
117,Placer,2019,12.0,120200.0,398329,0.6988339076059213,0.016762910498553683,0.19408552407691,0.09031765781861494,7167
118,Riverside,2019,12.0,90200.0,2470546,0.3465335747819323,0.06364763320184455,0.5182844359408856,0.07153435607533752,109595
119,Sacramento,2019,12.0,92000.0,1552058,0.4357878337014007,0.09550659908528619,0.2848181160635954,0.1838874511497177,99215
120,San Bernardino,2019,12.0,83400.0,2180085,0.2664690584502047,0.08059156696931975,0.5715279335983037,0.08141144098217191,145985
121,San Diego,2019,12.0,105000.0,3338330,0.44758185304137377,0.04544116260408228,0.38260295333560407,0.12437403101893992,121468
122,San Francisco,2019,15.59,162000.0,881549,0.4222229228765525,0.05564583217119033,0.162508822181207,0.35962242277105017,24448
123,San Joaquin,2019,12.0,85375.0,762148,0.2829851437601749,0.07399238455931938,0.47020509921189046,0.17281737246861525,42221
124,San Luis Obispo,2019,12.0,105700.0,283111,0.6657368976956606,0.01738667975781378,0.27974144984454263,0.03713497270198301,7917
125,San Mateo,2019,12.0,182600.0,766573,0.4148509010372284,0.023360999265000203,0.2274147951135763,0.3343733045841951,7704
126,Santa Barbara,2019,12.0,100000.0,446499,0.42140166869733203,0.015081743932325567,0.505807085246251,0.057709502124091414,17198
127,Santa Clara,2019,12.0,169500.0,1927852,0.31647816054730193,0.024084524146864753,0.24100824461266512,0.41842907069316815,31022
128,Santa Cruz,2019,12.0,140000.0,273213,0.5480195459352637,0.010313337090187663,0.3953690337422129,0.04629808323233571,11282
129,Shasta,2019,12.0,81000.0,180080,0.788486774779981,0.010414033060040212,0.16744922406424195,0.033649968095736865,12871
130,Solano,2019,12.0,112000.0,447643,0.3695223367533071,0.14253773860421026,0.3212700662131172,0.1666698584293655,18498
131,Sonoma,2019,12.0,111890.0,494336,0.6313807360104794,0.01614129884455705,0.30362748329746136,0.048850481847502215,11873
132,Stanislaus,2019,12.0,77500.0,550660,0.38102509588999417,0.025949724548028668,0.5324561720448101,0.06056900751716702,34892
133,Tulare,2019,12.0,68500.0,466195,0.24019809703094122,0.010373294812045311,0.7189253257859497,0.030503282371063714,47695
134,Ventura,2019,12.0,114000.0,846006,0.44372204268232607,0.017013320984491695,0.4616282735925276,0.07763636274065462,26879
135,Yolo,2019,12.0,106300.0,220500,0.43070957241325214,0.02540910472492671,0.3976772460315126,0.14620407683030856,10300
136,Alameda,2020,12.0,154150.0,1680614,0.30613283460696133,0.10287320997204918,0.24146077432909402,0.3495331810918954,65823
137,Butte,2020,12.0,81000.0,210222,0.6862208101048692,0.016388249970761375,0.24649136485906983,0.0508995750652996,17442
138,Contra Costa,2020,12.0,144000.0,1166165,0.42727449082165603,0.09178993718981263,0.2797332028925915,0.20120236909593986,34375
139,El Dorado,2020,12.0,116000.0,191250,0.7663614766280117,0.007859366694509833,0.17627979128472712,0.04949936539275138,6854
140,Fresno,2020,12.0,80000.0,1009613,0.26961242515043476,0.043807776998563086,0.5774016840845672,0.10917811376643503,94085
141,Humboldt,2020,12.0,76100.0,136324,0.7614006448849632,0.014158376635446045,0.19593027484382955,0.028510703635761216,13591
142,Imperial,2020,12.0,72000.0,179730,0.09389922472071198,0.02131190930445427,0.8721285441732743,0.012660321801559382,17997
143,Kern,2020,12.0,76100.0,906124,0.3058059066246467,0.05107703304200916,0.594324052113454,0.04879300821989019,74124
144,Kings,2020,12.0,108500.0,152797,0.27369500078851916,0.05107784503778826,0.6411631264178181,0.03406402775587447,11463
145,Los Angeles,2020,15.0,100000.0,9996634,0.28314120078315264,0.08401420517229075,0.470704341975206,0.16214025206935062,621516
146,Madera,2020,12.0,88800.0,156434,0.3127561524389855,0.02714020740778512,0.6366475661136217,0.02345607403960762,11385
147,Marin,2020,12.0,192700.0,261341,0.7171848367641275,0.02562442637996591,0.1897248262750754,0.06746591058083126,5800
148,Merced,2020,12.0,70900.0,282963,0.23741756927597635,0.028195578638056513,0.6651621279939864,0.06922472409198073,23439
149,Napa,2020,12.0,128000.0,137465,0.5357866748872876,0.01781819583060383,0.36446379715617894,0.08193133212592964,2909
150,Orange,2020,12.0,124520.0,3186261,0.3955366124847779,0.01631208872521239,0.35822209671947586,0.22992920207053386,92330
151,Placer,2020,12.0,125000.0,405951,0.6985621719493835,0.016590714896041015,0.195299466981324,0.08954764617325141,6973
152,Riverside,2020,12.0,93300.0,2424663,0.3412517430821294,0.06351079467393,0.5238092583603622,0.07142820388357841,123750
153,Sacramento,2020,12.0,97000.0,1586727,0.44058266782593763,0.09846490521886606,0.27372748545544323,0.1872249414997531,108309
154,San Bernardino,2020,12.0,85500.0,2183526,0.26714969010198875,0.08169652175496647,0.5679947476337969,0.08315904050924791,157854
155,San Diego,2020,12.0,116000.0,3301182,0.44695810888851273,0.04552350820945307,0.38190043362241494,0.12561794927961925,165163
156,San Francisco,2020,16.07,170600.0,874826,0.41994895545944344,0.05519084554223577,0.16512993984817959,0.35973025915014123,31035
157,San Joaquin,2020,12.0,91000.0,780676,0.28863867087584255,0.07595468509373898,0.4547129251917057,0.18069371883871277,44408
158,San Luis Obispo,2020,12.0,105000.0,281924,0.6701695577886537,0.016423648316005908,0.27684182328921836,0.03656497060612204,8591
159,San Mateo,2020,12.0,185000.0,762727,0.40079097536414415,0.02135375275779858,0.24846294867123597,0.32939232320682127,10644
160,Santa Barbara,2020,12.0,117000.0,448083,0.4221753658829039,0.014755222131475771,0.5050349197874271,0.05803449219819327,20043
161,Santa Clara,2020,12.0,175000.0,1924802,0.30863317575966737,0.023378861534842976,0.2509196682050341,0.41706829450045557,38652
162,Santa Cruz,2020,12.0,151000.0,271768,0.5606228719368282,0.01098490481147219,0.38185603330931217,0.046536189942387396,13144
163,Shasta,2020,12.0,84300.0,182190,0.7972152864474962,0.010247607157719517,0.1583148379340639,0.03422226846072039,13921
164,Solano,2020,12.0,114000.0,452887,0.3722072409962304,0.14419561894091174,0.31360559074033634,0.16999154932252153,22326
165,Sonoma,2020,12.0,116400.0,488501,0.627833603692857,0.015620611193972978,0.3075392202758756,0.049006564837294375,14443
166,Stanislaus,2020,12.0,75855.0,553710,0.39037066237258133,0.02680766241348918,0.519966753069019,0.06285492214491051,34907
167,Tulare,2020,12.0,72000.0,473944,0.2570893351828725,0.010960960350164953,0.6989773295854401,0.032972374881522375,48974
168,Ventura,2020,12.0,118900.0,843808,0.43771464702622587,0.016690928717653437,0.4686755083911435,0.07691891586497718,28357
