County,FIPS,Longitude,Latitude,Consortium,Year,Elderly CalFresh,Age 18-59 CalFresh,Children CalFresh,ESL CalFresh,WIC Recipients Reachable,Pct Receiving WIC,Total Population,Elderly Population,Children Population,ESL Population,SSI Recipients
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2014,8668,59357,61616,40005.0,,,1599685,291375,342632,139309.0,47823.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2014,14,122,60,0.0,,,1163,353,223,23.0,39.0
Amador,US-06005,-120.238969,38.46328,C-IV,2014,227,1907,1261,97.0,,,37447,12635,5905,559.0,696.0
Butte,US-06007,-121.5660076,39.723785,C-IV,2014,1414,17170,13224,2689.0,,,223899,52958,45701,5637.0,10866.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2014,404,3021,1846,130.0,,,45009,15672,7781,598.0,1056.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,2014,76,701,1007,559.0,,,22139,4164,6179,3111.0,563.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2014,3571,32543,37059,16216.0,,,1102941,226850,253077,68215.0,24288.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2014,212,2800,2197,223.0,,,27235,6214,5853,725.0,1816.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2014,887,7138,4858,900.0,,,182547,47296,37694,3522.0,2851.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,2014,6644,100050,126245,61169.0,,,969410,152453,278353,109792.0,41053.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,2014,137,1614,2000,775.0,,,28828,5854,7616,2410.0,1111.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,2014,1011,10845,7621,900.0,,,134730,30815,27489,2266.0,5545.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2014,1984,18742,20513,21382.0,,,183179,29728,53679,33803.0,10238.0
Inyo,US-06027,-117.7797286,36.626,C-IV,2014,138,1054,949,290.0,,,18626,5425,3891,510.0,402.0
Kern,US-06029,-118.4426011,35.29441,C-IV,2014,4640,61310,84788,37256.0,,,876668,127006,254635,79181.0,31592.0
