Year,FIPS,Race,AgeGroup,Population
2010,0000,AIAN NH,0–18,80860
2010,0000,AIAN NH,19–34,73462
2010,0000,AIAN NH,35–64,140763
2010,0000,AIAN NH,65+,34261
2010,0000,Asian NH,0–18,2082901
2010,0000,Asian NH,19–34,2304387
2010,0000,Asian NH,35–64,4146238
2010,0000,Asian NH,65+,1130105
2010,0000,Black NH,0–18,1134436
2010,0000,Black NH,19–34,1021755
2010,0000,Black NH,35–64,1778630
2010,0000,Black NH,65+,443786
2010,0000,Hispanic,0–18,10064981
2010,0000,Hispanic,19–34,7533371
2010,0000,Hispanic,35–64,8985524
2010,0000,Hispanic,65+,1505712
2010,0000,MR NH,0–18,828106
2010,0000,MR NH,19–34,445630
2010,0000,MR NH,35–64,471615
2010,0000,MR NH,65+,91066
2010,0000,NHPI NH,0–18,71200
2010,0000,NHPI NH,19–34,73017
2010,0000,NHPI NH,35–64,103218
2010,0000,NHPI NH,65+,18699
2010,0000,White NH,0–18,5475998
2010,0000,White NH,19–34,5912171
2010,0000,White NH,35–64,13367666
2010,0000,White NH,65+,5297754
2010,6001,AIAN NH,0–18,1826
2010,6001,AIAN NH,19–34,2047
2010,6001,AIAN NH,35–64,3792
2010,6001,AIAN NH,65+,856
2010,6001,Asian NH,0–18,178137
2010,6001,Asian NH,19–34,190196
2010,6001,Asian NH,35–64,338988
2010,6001,Asian NH,65+,84067
2010,6001,Black NH,0–18,88135
2010,6001,Black NH,19–34,83243
2010,6001,Black NH,35–64,156611
2010,6001,Black NH,65+,42696
2010,6001,Hispanic,0–18,229904
2010,6001,Hispanic,19–34,195918
2010,6001,Hispanic,35–64,220685
2010,6001,Hispanic,65+,35248
2010,6001,MR NH,0–18,51226
2010,6001,MR NH,19–34,28420
2010,6001,MR NH,35–64,29823
2010,6001,MR NH,65+,4976
2010,6001,NHPI NH,0–18,6684
2010,6001,NHPI NH,19–34,7030
2010,6001,NHPI NH,35–64,9557
2010,6001,NHPI NH,65+,1600
2010,6001,White NH,0–18,167946
2010,6001,White NH,19–34,208666
2010,6001,White NH,35–64,491285
2010,6001,White NH,65+,167325
2010,6003,AIAN NH,0–18,137
2010,6003,AIAN NH,19–34,85
2010,6003,AIAN NH,35–64,167
2010,6003,AIAN NH,65+,30
2010,6003,Asian NH,0–18,0
2010,6003,Asian NH,19–34,0
2010,6003,Asian NH,35–64,14
2010,6003,Asian NH,65+,0
2010,6003,Black NH,0–18,0
2010,6003,Black NH,19–34,0
2010,6003,Black NH,35–64,0
2010,6003,Hispanic,0–18,74
2010,6003,Hispanic,19–34,44
2010,6003,Hispanic,35–64,41
2010,6003,Hispanic,65+,10
2010,6003,MR NH,0–18,12
2010,6003,MR NH,19–34,6
2010,6003,MR NH,35–64,21
2010,6003,MR NH,65+,6
2010,6003,White NH,0–18,308
2010,6003,White NH,19–34,179
2010,6003,White NH,35–64,932
2010,6003,White NH,65+,286
2010,6005,AIAN NH,0–18,255
2010,6005,AIAN NH,19–34,250
2010,6005,AIAN NH,35–64,455
2010,6005,AIAN NH,65+,136
2010,6005,Asian NH,0–18,126
2010,6005,Asian NH,19–34,132
2010,6005,Asian NH,35–64,432
2010,6005,Asian NH,65+,109
2010,6005,Black NH,0–18,203
2010,6005,Black NH,19–34,542
2010,6005,Black NH,35–64,1133
2010,6005,Black NH,65+,37
2010,6005,Hispanic,0–18,2644
2010,6005,Hispanic,19–34,2426
2010,6005,Hispanic,35–64,3777
2010,6005,Hispanic,65+,658
2010,6005,MR NH,0–18,714
2010,6005,MR NH,19–34,280
2010,6005,MR NH,35–64,668
2010,6005,MR NH,65+,162
2010,6005,NHPI NH,0–18,14
2010,6005,NHPI NH,19–34,33
2010,6005,NHPI NH,35–64,75
2010,6005,NHPI NH,65+,9
2010,6005,White NH,0–18,9629
2010,6005,White NH,19–34,7689
2010,6005,White NH,35–64,28614
2010,6005,White NH,65+,14603
2010,6007,AIAN NH,0–18,1998
2010,6007,AIAN NH,19–34,1494
2010,6007,AIAN NH,35–64,2621
2010,6007,AIAN NH,65+,721
2010,6007,Asian NH,0–18,6203
2010,6007,Asian NH,19–34,5760
2010,6007,Asian NH,35–64,5032
2010,6007,Asian NH,65+,1094
2010,6007,Black NH,0–18,1632
2010,6007,Black NH,19–34,2055
2010,6007,Black NH,35–64,2098
2010,6007,Black NH,65+,544
2010,6007,Hispanic,0–18,23142
2010,6007,Hispanic,19–34,18583
2010,6007,Hispanic,35–64,17577
2010,6007,Hispanic,65+,3334
2010,6007,MR NH,0–18,5992
2010,6007,MR NH,19–34,3832
2010,6007,MR NH,35–64,3682
2010,6007,MR NH,65+,769
2010,6007,NHPI NH,0–18,242
2010,6007,NHPI NH,19–34,290
2010,6007,NHPI NH,35–64,274
2010,6007,NHPI NH,65+,46
2010,6007,White NH,0–18,61260
2010,6007,White NH,19–34,78238
2010,6007,White NH,35–64,130930
2010,6007,White NH,65+,61176
2010,6009,AIAN NH,0–18,231
2010,6009,AIAN NH,19–34,169
2010,6009,AIAN NH,35–64,514
2010,6009,AIAN NH,65+,153
2010,6009,Asian NH,0–18,237
2010,6009,Asian NH,19–34,162
2010,6009,Asian NH,35–64,533
2010,6009,Asian NH,65+,153
2010,6009,Black NH,0–18,221
2010,6009,Black NH,19–34,118
2010,6009,Black NH,35–64,278
2010,6009,Black NH,65+,105
2010,6009,Hispanic,0–18,3349
2010,6009,Hispanic,19–34,1675
2010,6009,Hispanic,35–64,3437
2010,6009,Hispanic,65+,1016
2010,6009,MR NH,0–18,904
2010,6009,MR NH,19–34,355
2010,6009,MR NH,35–64,952
2010,6009,MR NH,65+,248
2010,6009,NHPI NH,0–18,24
2010,6009,NHPI NH,19–34,34
2010,6009,NHPI NH,35–64,68
2010,6009,NHPI NH,65+,18
2010,6009,White NH,0–18,13953
2010,6009,White NH,19–34,9336
2010,6009,White NH,35–64,35386
2010,6009,White NH,65+,17514
2010,6011,AIAN NH,0–18,221
2010,6011,AIAN NH,19–34,93
2010,6011,AIAN NH,35–64,215
2010,6011,AIAN NH,65+,66
2010,6011,Asian NH,0–18,123
2010,6011,Asian NH,19–34,91
2010,6011,Asian NH,35–64,243
2010,6011,Asian NH,65+,95
2010,6011,Black NH,0–18,108
2010,6011,Black NH,19–34,52
2010,6011,Black NH,35–64,118
2010,6011,Black NH,65+,59
2010,6011,Hispanic,0–18,9439
2010,6011,Hispanic,19–34,5831
2010,6011,Hispanic,35–64,7212
2010,6011,Hispanic,65+,1093
2010,6011,MR NH,0–18,211
2010,6011,MR NH,19–34,105
2010,6011,MR NH,35–64,158
2010,6011,MR NH,65+,35
2010,6011,NHPI NH,0–18,20
2010,6011,NHPI NH,19–34,28
2010,6011,NHPI NH,35–64,63
2010,6011,NHPI NH,65+,11
2010,6011,White NH,0–18,3338
2010,6011,White NH,19–34,2490
2010,6011,White NH,35–64,7591
2010,6011,White NH,65+,3632
2010,6013,AIAN NH,0–18,1338
2010,6013,AIAN NH,19–34,1210
2010,6013,AIAN NH,35–64,2924
2010,6013,AIAN NH,65+,624
2010,6013,Asian NH,0–18,70084
2010,6013,Asian NH,19–34,59400
2010,6013,Asian NH,35–64,139784
2010,6013,Asian NH,65+,33086
2010,6013,Black NH,0–18,53364
2010,6013,Black NH,19–34,40336
2010,6013,Black NH,35–64,77088
2010,6013,Black NH,65+,18519
2010,6013,Hispanic,0–18,185128
2010,6013,Hispanic,19–34,135654
2010,6013,Hispanic,35–64,166114
2010,6013,Hispanic,65+,25789
2010,6013,MR NH,0–18,38035
2010,6013,MR NH,19–34,15218
2010,6013,MR NH,35–64,19055
2010,6013,MR NH,65+,3025
2010,6013,NHPI NH,0–18,2505
2010,6013,NHPI NH,19–34,2308
2010,6013,NHPI NH,35–64,3744
2010,6013,NHPI NH,65+,609
2010,6013,White NH,0–18,199685
2010,6013,White NH,19–34,151033
2010,6013,White NH,35–64,476125
2010,6013,White NH,65+,180268
2010,6015,AIAN NH,0–18,1331
2010,6015,AIAN NH,19–34,882
2010,6015,AIAN NH,35–64,1331
2010,6015,AIAN NH,65+,342
2010,6015,Asian NH,0–18,810
2010,6015,Asian NH,19–34,363
2010,6015,Asian NH,35–64,583
2010,6015,Asian NH,65+,124
2010,6015,Black NH,0–18,69
2010,6015,Black NH,19–34,957
2010,6015,Black NH,35–64,1043
2010,6015,Black NH,65+,24
2010,6015,Hispanic,0–18,2844
2010,6015,Hispanic,19–34,3444
2010,6015,Hispanic,35–64,3620
2010,6015,Hispanic,65+,267
2010,6015,MR NH,0–18,838
2010,6015,MR NH,19–34,362
2010,6015,MR NH,35–64,547
2010,6015,MR NH,65+,142
2010,6015,NHPI NH,0–18,2
2010,6015,NHPI NH,19–34,16
2010,6015,NHPI NH,35–64,31
2010,6015,NHPI NH,65+,5
2010,6015,White NH,0–18,7129
2010,6015,White NH,19–34,6360
2010,6015,White NH,35–64,16734
2010,6015,White NH,65+,6831
2010,6017,AIAN NH,0–18,764
2010,6017,AIAN NH,19–34,623
2010,6017,AIAN NH,35–64,1423
2010,6017,AIAN NH,65+,318
2010,6017,Asian NH,0–18,3112
2010,6017,Asian NH,19–34,1877
2010,6017,Asian NH,35–64,6243
2010,6017,Asian NH,65+,1230
2010,6017,Black NH,0–18,714
2010,6017,Black NH,19–34,447
2010,6017,Black NH,35–64,1149
2010,6017,Black NH,65+,317
2010,6017,Hispanic,0–18,16863
2010,6017,Hispanic,19–34,9960
2010,6017,Hispanic,35–64,14668
2010,6017,Hispanic,65+,2433
2010,6017,MR NH,0–18,4284
2010,6017,MR NH,19–34,1666
2010,6017,MR NH,35–64,3096
2010,6017,MR NH,65+,614
2010,6017,NHPI NH,0–18,125
2010,6017,NHPI NH,19–34,111
2010,6017,NHPI NH,35–64,263
2010,6017,NHPI NH,65+,40
2010,6017,White NH,0–18,61292
2010,6017,White NH,19–34,41886
2010,6017,White NH,35–64,138317
2010,6017,White NH,65+,48358
2010,6019,AIAN NH,0–18,3386
2010,6019,AIAN NH,19–34,2621
2010,6019,AIAN NH,35–64,5007
2010,6019,AIAN NH,65+,1162
2010,6019,Asian NH,0–18,57281
2010,6019,Asian NH,19–34,47646
2010,6019,Asian NH,35–64,56289
2010,6019,Asian NH,65+,15361
2010,6019,Black NH,0–18,29154
2010,6019,Black NH,19–34,22825
