,state,snap_population,year,median_income,unemployment_rate,min_wage,population
0,CA,1986976,1990,70960,5.8,3.35,29950.111
1,CA,2300990,1991,69240,7.8,4.25,30414.114
2,CA,2622444,1992,70010,9.4,4.25,30875.92
3,CA,2951450,1993,66700,9.6,4.25,31147.208
4,CA,3147999,1994,67680,8.7,4.25,31317.179
5,CA,3186375,1995,69250,7.9,4.25,31493.525
6,CA,3085164,1996,70760,7.3,4.25,31780.829
7,CA,2673252,1997,70850,6.4,4.75,32217.708
8,CA,2178821,1998,72080,6,5.15,32682.794
9,CA,1980580,1999,75270,5.3,5.15,33145.121
10,CA,1782806,2000,78070,4.9,5.75,33987.977
11,CA,1663458,2001,77080,5.5,6.25,34479.458
12,CA,1698662,2002,76410,6.7,6.75,34871.843
13,CA,1733397,2003,77790,6.9,6.75,35253.159
14,CA,1909567,2004,75770,6.2,6.75,35574.576
15,CA,1999162,2005,77430,5.4,6.75,35827.943
16,CA,2005422,2006,80430,4.9,6.75,36021.202
17,CA,2074381,2007,79000,5.3,7.5,36250.311
18,CA,2300893,2008,77960,7.3,8,36604.337
19,CA,2823026,2009,77070,11.5,8,36961.229
20,CA,3357446,2010,73520,12.3,8,37319.55
21,CA,3760866,2011,70100,11.7,8,37636.311
22,CA,4022281,2012,73480,10.4,8,37944.551
23,CA,4197569,2013,77400,9,8,38253.768
24,CA,4384202,2014,75930,7.6,9,38586.706
25,CA,4422456,2015,79940,6.2,9,38904.296
26,CA,4288126,2016,82980,5.5,10,39149.186
27,CA,4065285,2017,85710,4.8,10.5,39337.785
28,CA,3891812,2018,84560,4.3,11,39437.463
29,CA,3848877,2019,92330,4.1,12,39437.61
30,CA,4371406,2020,90840,10.2,12,39521.958
31,CA,4379289,2021,91350,7.4,13,39142.565
32,CA,4810394,2022,88690,4.3,14,39142.414
33,TX,1947284,1990,60170.0,6.4,3.35,17044.714
34,TX,2238189,1991,57040.0,7.0,3.35,17339.904
35,TX,2515950,1992,56070.0,7.7,3.35,17650.479
36,TX,2691966,1993,56230.0,7.2,3.35,17996.764
37,TX,2706236,1994,58910.0,6.6,3.35,18338.319
38,TX,2506770,1995,59950.0,6.1,3.35,18679.706
39,TX,2302306,1996,60300.0,5.8,3.35,19006.24
40,TX,1930084,1997,62610.0,5.4,3.35,19355.427
41,TX,1560235,1998,63010.0,5.0,3.35,19712.389
42,TX,1370369,1999,66740.0,4.7,3.35,20044.141
43,TX,1331202,2000,64390.0,4.4,3.35,20944.499
44,TX,1399821,2001,66640.0,5.0,3.35,21319.622
45,TX,1615100,2002,64670.0,6.4,5.15,21690.325
46,TX,1982261,2003,61970.0,6.8,5.15,22030.931
47,TX,2322097,2004,63730.0,6.0,5.15,22394.023
48,TX,2437003,2005,61970.0,5.5,5.15,22778.123
49,TX,2449916,2006,62960.0,5.0,5.15,23359.58
50,TX,2424799,2007,65280.0,4.3,5.15,23831.983
51,TX,2622083,2008,63570.0,4.9,5.85,24309.039
52,TX,3039024,2009,65180.0,7.6,6.55,24801.761
53,TX,3723069,2010,64010.0,8.3,7.25,25241.897
54,TX,4039969,2011,64420.0,8.0,7.25,25645.504
55,TX,4022809,2012,66910.0,6.7,7.25,26084.12
56,TX,4006750,2013,65450.0,6.3,7.25,26479.646
57,TX,3805649,2014,67630.0,5.2,7.25,26963.092
58,TX,3718904,2015,70950.0,4.5,7.25,27468.531
59,TX,3796820,2016,72410.0,4.7,7.25,27914.064
60,TX,3793707,2017,73540.0,4.4,7.25,28291.024
61,TX,3636965,2018,71720.0,3.9,7.25,28624.564
62,TX,3338333,2019,79720.0,3.5,7.25,28986.794
63,TX,3650272,2020,80020.0,7.7,7.25,29239.57
64,TX,3352602,2021,75480.0,5.6,7.25,29570.351
65,TX,3479450,2022,77600.0,3.9,7.25,30113.488
66,AZ,334128,1990,62290.0,5.2,3.35,3679.056
67,AZ,408051,1991,63220.0,5.9,3.35,3762.394
68,AZ,465914,1992,58890.0,7.6,3.35,3867.333
69,AZ,498744,1993,59720.0,6.3,3.35,3993.39
70,AZ,508754,1994,59940.0,6.2,3.35,4147.561
71,AZ,462451,1995,57750.0,5.3,3.35,4306.908
72,AZ,419129,1996,57680.0,5.5,3.35,4432.308
73,AZ,343878,1997,58440.0,4.6,3.35,4552.207
74,AZ,281228,1998,65310.0,4.3,3.35,4667.277
75,AZ,256433,1999,63820.0,4.5,3.35,4778.332
76,AZ,262331,2000,66340.0,4.0,3.35,5160.586
77,AZ,310545,2001,69640.0,4.7,3.35,5273.477
78,AZ,399573,2002,64000.0,6.2,5.15,5396.255
79,AZ,492484,2003,64960.0,5.8,5.15,5510.364
80,AZ,534333,2004,67500.0,5.0,5.15,5652.404
81,AZ,551268,2005,67690.0,4.6,5.15,5839.077
82,AZ,535997,2006,67830.0,4.3,5.15,6029.141
83,AZ,558263,2007,66930.0,3.7,6.75,6167.681
84,AZ,660821,2008,64150.0,5.8,6.9,6280.362
85,AZ,879994,2009,62790.0,9.7,7.25,6343.154
86,AZ,1034267,2010,63510.0,10.4,7.25,6407.342
87,AZ,1088957,2011,63860.0,9.5,7.35,6473.416
88,AZ,1122239,2012,60620.0,8.4,7.65,6556.344
89,AZ,1096706,2013,66980.0,7.8,7.8,6634.69
90,AZ,1031904,2014,61830.0,6.8,7.9,6732.873
91,AZ,987061,2015,65640.0,6.1,8.05,6832.81
92,AZ,952900,2016,71100.0,5.5,8.05,6944.767
93,AZ,900288,2017,73060.0,5.0,10.0,7048.088
94,AZ,831410,2018,74710.0,4.8,10.5,7164.228
95,AZ,786109,2019,83540.0,4.8,11.0,7291.843
96,AZ,845480,2020,78480.0,7.8,12.0,7187.135
97,AZ,865600,2021,79310.0,5.0,12.15,7274.078
98,AZ,847982,2022,76370.0,3.7,12.8,7377.566
99,NV,52250,1990,68260.0,4.8,3.35,1218.629
100,NV,67687,1991,67750.0,5.8,3.8,1285.046
101,NV,83857,1992,64000.0,6.8,4.25,1330.694
102,NV,95254,1993,70100.0,6.9,4.25,1380.197
103,NV,96906,1994,68710.0,6.2,4.25,1456.388
104,NV,98731,1995,67520.0,5.6,4.25,1525.777
105,NV,94677,1996,70260.0,5.1,4.25,1596.476
106,NV,78734,1997,69350.0,4.4,4.75,1675.581
107,NV,68906,1998,70010.0,4.2,5.15,1743.772
108,NV,60064,1999,71530.0,4.1,5.15,1809.253
109,NV,62148,2000,76310.0,4.1,5.15,2018.741
110,NV,76096,2001,74050.0,5.1,5.15,2098.399
111,NV,100490,2002,72420.0,5.6,5.15,2173.791
112,NV,114772,2003,71300.0,5.2,5.15,2248.85
113,NV,121578,2004,72660.0,4.5,5.15,2346.222
114,NV,120809,2005,72120.0,4.2,5.15,2432.143
115,NV,117684,2006,76010.0,4.2,5.15,2522.658
116,NV,126060,2007,76630.0,4.8,6.15,2601.072
117,NV,152951,2008,74850.0,6.9,6.33,2653.63
118,NV,221511,2009,70610.0,11.1,6.85,2684.665
119,NV,295042,2010,69340.0,13.3,7.55,2702.483
120,NV,340797,2011,61790.0,13.0,8.25,2713.114
121,NV,356643,2012,61000.0,11.5,8.25,2744.67
122,NV,363624,2013,66010.0,10.0,8.25,2776.956
123,NV,393095,2014,62610.0,8.2,8.25,2818.935
124,NV,428316,2015,65340.0,6.9,8.25,2868.531
125,NV,440319,2016,69020.0,5.8,8.25,2919.555
126,NV,440616,2017,71030.0,5.0,8.25,2972.097
127,NV,437072,2018,74210.0,4.4,8.25,3030.725
128,NV,419793,2019,83820.0,4.1,8.25,3090.771
129,NV,461386,2020,71550.0,13.7,9.0,3116.967
130,NV,446328,2021,72050.0,6.8,9.75,3148.141
131,NV,464322,2022,75200.0,5.2,9.5,3176.116
132,UT,101565,1990,64250.0,4.4,2.75,1729.722
133,UT,113531,1991,57620.0,4.8,3.8,1771.941
134,UT,126215,1992,68700.0,4.9,4.25,1821.498
135,UT,132299,1993,70050.0,4.1,4.25,1875.993
136,UT,125986,1994,68420.0,3.7,4.25,1930.436
137,UT,116009,1995,68260.0,3.4,4.25,1976.774
138,UT,107990,1996,67530.0,3.4,4.25,2022.253
139,UT,95629,1997,76350.0,3.2,4.75,2065.397
140,UT,91106,1998,78000.0,3.6,5.15,2100.562
141,UT,86754,1999,79440.0,3.5,5.15,2129.836
142,UT,81236,2000,79300.0,3.3,5.15,2244.502
143,UT,80935,2001,77210.0,4.4,5.15,2283.715
144,UT,94269,2002,77090.0,5.7,5.15,2324.815
145,UT,110057,2003,77750.0,5.6,5.15,2360.137
146,UT,126531,2004,78310.0,5.0,5.15,2401.58
147,UT,134271,2005,82000.0,4.0,5.15,2457.719
148,UT,129655,2006,79420.0,2.9,5.15,2525.507
149,UT,124363,2007,75880.0,2.6,5.15,2597.746
150,UT,142383,2008,85510.0,3.3,5.85,2663.029
151,UT,200556,2009,80300.0,7.6,6.55,2723.421
152,UT,263082,2010,76790.0,8.3,7.25,2775.413
153,UT,284966,2011,72890.0,7.2,7.25,2814.797
154,UT,270219,2012,75180.0,4.8,7.25,2854.146
155,UT,245390,2013,77730.0,4.2,7.25,2898.773
156,UT,228101,2014,79570.0,3.6,7.25,2938.327
157,UT,224451,2015,83240.0,3.5,7.25,2983.626
158,UT,217468,2016,84030.0,3.3,7.25,3044.241
159,UT,202153,2017,85400.0,3.2,7.25,3103.54
160,UT,184417,2018,92450.0,2.9,7.25,3155.153
161,UT,168797,2019,99910.0,2.5,7.25,3203.383
162,UT,163818,2020,98260.0,4.8,7.25,3284.077
163,UT,160672,2021,98150.0,2.8,7.25,3339.738
164,UT,156254,2022,99610.0,2.4,7.25,3391.011
165,NM,162520,1990,53370.0,6.7,3.35,1519.933
166,NM,196600,1991,54590.0,7.3,3.35,1547.115
167,NM,229107,1992,51870.0,7.3,3.35,1580.75
168,NM,244960,1993,52380.0,7.3,3.35,1614.937
169,NM,243778,1994,51540.0,6.5,4.25,1653.329
170,NM,237646,1995,48640.0,6.6,4.25,1682.417
171,NM,232032,1996,45740.0,7.5,4.25,1706.151
172,NM,193479,1997,53700.0,6.4,4.25,1722.939
173,NM,180128,1998,55540.0,6.2,4.25,1733.535
174,NM,176807,1999,56200.0,5.6,4.25,1739.844
175,NM,167623,2000,58520.0,5.0,4.25,1821.204
176,NM,163005,2001,54020.0,5.0,4.25,1831.69
177,NM,176786,2002,57110.0,5.5,4.25,1855.309
178,NM,200681,2003,55390.0,5.9,4.25,1877.574
179,NM,229991,2004,60900.0,5.6,5.15,1903.808
180,NM,242296,2005,58270.0,5.2,5.15,1932.274
181,NM,242976,2006,58190.0,4.2,5.15,1962.137
182,NM,232143,2007,62870.0,3.5,5.15,1990.07
183,NM,247726,2008,57570.0,4.4,6.5,2010.662
184,NM,308530,2009,59780.0,7.1,7.5,2036.802
185,NM,372933,2010,61120.0,7.8,7.5,2064.614
186,NM,422018,2011,55140.0,7.2,7.5,2080.707
187,NM,440066,2012,55960.0,7.0,7.5,2087.715
188,NM,435818,2013,51140.0,6.9,7.5,2092.833
189,NM,436153,2014,58610.0,6.6,7.5,2090.236
190,NM,456776,2015,56680.0,6.6,7.5,2090.071
191,NM,472249,2016,60330.0,6.8,7.5,2092.555
192,NM,458553,2017,55800.0,6.1,7.5,2092.844
193,NM,454481,2018,57920.0,4.9,7.5,2093.754
194,NM,447399,2019,62780.0,5.0,7.5,2099.634
195,NM,479722,2020,59550.0,7.9,9.0,2118.606
196,NM,536486,2021,59870.0,7.1,10.5,2117.333
197,NM,508802,2022,58660.0,4.1,11.5,2113.868
198,CO,226673,1990,65510.0,5.1,3.0,3303.862
199,CO,245119,1991,64790.0,5.3,3.0,3367.567
200,CO,264484,1992,65160.0,6.1,3.0,3459.995
201,CO,272943,1993,67510.0,5.4,3.0,3560.884
