county,year,total_enrollees,population,per_capita_enrollment,minimum_wage
Alameda,2016,0,1650950,0,10
Alameda,2017,0,1660196,0,10.5
Alameda,2018,1604656,1666756,0.9627419970289592,11
Alameda,2019,3734776,1671329,2.234614489427276,12
Alameda,2020,3771604,1680614,2.2441821857963817,12
Alameda,2021,4202260,1643856,2.5563431346784635,14.36
Alameda,2022,4638563,1635693,2.8358396104892543,15.06
Alameda,2023,5299695,1638142,3.2351865711275334,15.97
Alameda,2024,5634464,1649060,3.4167731920002913,16.5
Alpine,2016,3177,1047,3.0343839541547277,10
Alpine,2017,2872,1111,2.585058505850585,10.5
Alpine,2018,2711,1089,2.4894398530762167,11
Alpine,2019,2700,1129,2.391496899911426,12
Alpine,2020,2562,1179,2.173027989821883,12
Alpine,2021,2755,1203,2.2901080631753947,13
Alpine,2022,3008,1169,2.5731394354148844,14
Alpine,2023,3262,1126,2.8969804618117228,15.5
Alpine,2024,3291,1099,2.994540491355778,16
Amador,2016,78000,37429,2.083945603676294,10
Amador,2017,78633,38529,2.0408782994627424,10.5
Amador,2018,76405,39405,1.9389671361502347,11
Amador,2019,72947,39752,1.8350523244113504,12
Amador,2020,75327,40584,1.8560762862211708,12
Amador,2021,84313,41245,2.0441992968844707,13
Amador,2022,93875,41486,2.262811550884636,14
Amador,2023,108744,41798,2.6016555816067752,15.5
Amador,2024,102895,42026,2.44836529767287,16
Butte,2016,789756,226231,3.490927414898931,10
Butte,2017,795389,228696,3.4779314023857,10.5
Butte,2018,793655,230339,3.4455954050334507,11
Butte,2019,757486,219186,3.4559050304307757,12
Butte,2020,748476,210222,3.5604075691411934,12
Butte,2021,809090,206351,3.920940533363056,13
Butte,2022,863895,207384,4.16567816224974,14
Butte,2023,980705,207354,4.729616983516112,15.5
Butte,2024,1026625,208334,4.9277842310904605,16
Calaveras,2016,116221,45322,2.5643396143153434,10
Calaveras,2017,114939,45681,2.5161226768240623,10.5
Calaveras,2018,113238,45698,2.4779640246837937,11
Calaveras,2019,112220,45905,2.444613876484043,12
Calaveras,2020,115720,45350,2.5517089305402427,12
Calaveras,2021,130531,46262,2.8215598115083655,13
Calaveras,2022,140416,46544,3.016844276383637,14
Calaveras,2023,160453,46580,3.4446758265349935,15.5
Calaveras,2024,154240,46505,3.316632620148371,16
Colusa,2016,84328,21496,3.9229624116114623,10
Colusa,2017,87391,21579,4.049816951665972,10.5
Colusa,2018,91664,21418,4.279764683910729,11
Colusa,2019,93651,21547,4.346359121919525,12
Colusa,2020,96372,21868,4.406987378818365,12
Colusa,2021,105510,21931,4.810998130500205,13
Colusa,2022,112816,21952,5.139212827988338,14
Colusa,2023,126910,22093,5.744353415108858,15.5
Colusa,2024,124264,22074,5.629428286672103,16
Contra Costa,2016,0,1137268,0,10
Contra Costa,2017,0,1145535,0,10.5
Contra Costa,2018,1037840,1150519,0.9020624605069538,11
Contra Costa,2019,2439557,1153526,2.114869539134792,12
Contra Costa,2020,2504643,1166165,2.1477603941123253,12
Contra Costa,2021,2866391,1163813,2.4629309004109765,13
Contra Costa,2022,3202481,1160296,2.7600551928128683,14
Contra Costa,2023,3647439,1162179,3.138448552245394,15.5
Contra Costa,2024,3783023,1172607,3.2261644353137924,16
Del Norte,2016,136417,27382,4.981995471477613,10
Del Norte,2017,137059,27351,5.01111476728456,10.5
Del Norte,2018,137193,27740,4.9456741167988465,11
Del Norte,2019,133998,27812,4.817992233568244,12
