county,fips,longitude,latitude,consortium,year,elderly calfresh,age 18-59 calfresh,children calfresh,esl calfresh,wic recipients reachable,pct receiving wic,total population,elderly population,children population,esl population,ssi recipients,total_calfresh,calfresh_per_capita,unnamed: 0,countyfip,pct_foodstmp,median_income,count
alameda,US-06001,-121.7871814,37.680185,CalWIN,2016,10695,54015,54246,37866.0,4039.0,0.647727979,1637712,316180,345421,142005.0,46141.0,118956,0.07263548169641548,72,1,0.918544902487446,115400.0,17126
butte,US-06007,-121.5660076,39.723785,C-IV,2016,1940,18169,12890,2410.0,748.0,0.629648116,225125,55290,45620,7445.0,10550.0,32999,0.14658078845086064,73,7,0.851739130434783,59000.0,2300
contra costa,US-06013,-121.717604,37.888418,CalWIN,2016,4727,30804,34519,15305.0,3229.0,0.538284619,1129894,247789,251595,74586.0,23841.0,70050,0.06199696608708428,74,13,0.921941555225359,110210.0,10095
el dorado,US-06017,-120.4259625,38.78496,C-IV,2016,1149,7202,4816,844.0,258.0,0.568442347,184180,51087,36645,3406.0,2862.0,13167,0.07148984688891302,75,17,0.93717277486911,98020.0,1719
fresno,US-06019,-120.862059,36.74633,CalWIN,2016,8599,102071,125061,57671.0,5748.0,0.761550075,989183,163512,279928,112485.0,41294.0,235731,0.23830878613967285,76,19,0.749331252786447,60000.0,8972
humboldt,US-06023,-123.959972,40.73356,C-IV,2016,1455,12589,7512,908.0,426.0,0.589486356,136086,32838,27690,2230.0,5383.0,21556,0.15839983539820407,77,23,0.857440890125174,59500.0,1438
imperial,US-06025,-115.058652,33.02615,C-IV,2016,2792,19828,20597,22382.0,812.0,0.634608872,187157,32050,54372,34100.0,9999.0,43217,0.2309130836677228,78,25,0.776686313032089,64000.0,1527
kern,US-06029,-118.4426011,35.29441,C-IV,2016,6955,70514,89636,37205.0,6086.0,0.741666667,888994,136623,254735,83111.0,30848.0,167105,0.18797089744137754,79,29,0.798592540464462,62000.0,7105
kings,US-06031,-119.6135104,36.138775,C-IV,2016,988,10922,12811,5807.0,877.0,0.719566289,149407,21381,45432,13525.0,4567.0,24721,0.1654607883164778,80,31,0.870782940802037,78200.0,1571
los angeles,US-06037,-117.9879672,34.26394,LRS,2016,65695,489436,521779,391688.0,51194.0,0.747201878,10229245,1915495,2304521,1343973.0,381016.0,1076910,0.10527756447323336,81,37,0.879343884104439,75000.0,102299
madera,US-06039,-119.84174,37.27052,C-IV,2016,985,10929,17426,9932.0,975.0,0.737387942,155693,29376,42383,19819.0,4480.0,29340,0.1884477786413005,82,39,0.824701195219124,68600.0,1255
marin,US-06041,-122.870429,38.068145,C-IV,2016,1268,4468,4745,4064.0,295.0,0.578982155,263257,76036,52612,10590.0,2796.0,10481,0.0398128064970732,83,41,0.973773265651438,148000.0,2364
merced,US-06047,-120.1246993,37.18687,C-IV,2016,2309,23839,31177,14791.0,1760.0,0.723367169,272610,41701,79762,32600.0,10667.0,57325,0.2102820879644914,84,47,0.750977835723598,55800.0,2301
napa,US-06055,-122.5128064,38.509635,C-IV,2016,561,2946,3968,2829.0,201.0,0.656349206,142269,34640,29835,11745.0,2034.0,7475,0.05254131258390795,85,55,0.947494033412888,110000.0,1676
orange,US-06059,-117.8002615,33.66707,CalWIN,2016,20825,101850,136659,113097.0,7350.0,0.681085847,3181371,627423,726521,309974.0,67977.0,259334,0.08151642798026386,86,59,0.913156036714521,99300.0,29743
placer,US-06061,-120.7858989,39.013999,CalWIN,2016,1653,8983,7085,1882.0,487.0,0.54584121,376092,96940,78000,5842.0,5095.0,17721,0.0471187900832775,87,61,0.96801872074883,105700.0,3846
riverside,US-06065,-115.0250859,33.752845,C-IV,2016,16535,128786,145657,63275.0,10479.0,0.639698181,2360727,456965,598756,189787.0,58100.0,290978,0.12325779304426136,88,65,0.867768220914441,73700.0,22090
sacramento,US-06067,-121.1505311,38.383079,CalWIN,2016,10622,105972,100084,47168.0,5851.0,0.614490903,1506677,284940,361388,94153.0,62524.0,216678,0.1438118455382275,89,67,0.859237938596491,75000.0,14592
san bernardino,US-06071,-116.6760973,34.840011,C-IV,2016,21084,180957,193959,68443.0,11109.0,0.66028086,2147933,346063,579219,167271.0,67508.0,396000,0.18436329252355638,90,71,0.803339620548097,70000.0,18026
san diego,US-06073,-116.693716,33.019645,CalWIN,2016,24013,135994,133618,99769.0,11913.0,0.649918312,3300891,637060,780130,238465.0,75424.0,293625,0.08895325534832868,91,73,0.901278650615521,88300.0,29406
san francisco,US-06075,-122.4847727,37.759845,CalWIN,2016,8600,27523,18892,22730.0,1229.0,0.580031949,871185,188417,124486,99674.0,36427.0,55015,0.06314961804897927,92,75,0.934782608695652,132300.0,8050
san joaquin,US-06077,-120.9449271,37.889845,C-IV,2016,5637,51577,60519,22397.0,3337.0,0.669147353,738873,127720,199204,60196.0,26870.0,117733,0.15934132117427488,93,77,0.807373535295799,71800.0,6998
san luis obispo,US-06079,-120.1080592,35.34633,CalWIN,2016,1559,9132,7974,3280.0,401.0,0.573255814,278917,75907,49961,10287.0,4063.0,18665,0.06691954954341256,94,79,0.950885668276973,88000.0,2484
san mateo,US-06081,-122.2406398,37.407705,CalWIN,2016,3684,10858,15490,13095.0,904.0,0.640888523,768122,171899,161747,54522.0,9952.0,30032,0.03909795579348072,95,81,0.949285622345218,143000.0,7769
santa barbara,US-06083,-120.0351675,34.743715,CalWIN,2016,2277,15072,21923,14873.0,1474.0,0.699749687,448353,89021,100705,51832.0,8004.0,39272,0.08759169672111038,96,83,0.89170451828831,90000.0,4183
santa clara,US-06085,-121.6161794,37.18939,CalWIN,2016,10336,43715,50104,44755.0,3295.0,0.594197975,1930215,364511,442750,167482.0,41718.0,104155,0.053960310120893265,97,85,0.932712003277345,135520.0,19528
santa cruz,US-06087,-122.0401593,37.06834,CalWIN,2016,2393,11881,12357,9501.0,863.0,0.661349693,276249,60888,57974,20762.0,4764.0,26631,0.09640215892184226,98,87,0.913299333071793,105300.0,2549
shasta,US-06089,-122.0883555,40.735175,C-IV,2016,1506,13777,9672,436.0,727.0,0.677409262,178208,48189,37658,1963.0,9165.0,24955,0.14003299515173281,99,89,0.876560999039385,61000.0,2082
solano,US-06095,-121.6688337,38.2894915,CalWIN,2016,2927,21221,19429,6797.0,1035.0,0.5419684,434102,92321,100398,22558.0,11385.0,43577,0.100384241491631,100,95,0.886903362332471,92000.0,4253
sonoma,US-06097,-122.7518161,38.481733,CalWIN,2016,3556,15130,16175,10272.0,744.0,0.595316352,503953,130857,98968,26781.0,8201.0,34861,0.06917510164638369,101,97,0.927601809954751,94850.0,4862
stanislaus,US-06099,-120.8981857,37.606095,C-IV,2016,4334,41704,42829,16575.0,2341.0,0.586291686,545008,96403,145017,53504.0,19620.0,88867,0.16305632210903326,102,99,0.839783603828548,65100.0,4806
tulare,US-06107,-119.0889841,36.266965,CalWIN,2016,5671,51327,67261,40041.0,2338.0,0.641883399,468235,73460,144339,66725.0,17540.0,124259,0.265377428000897,103,107,0.715207373271889,53900.0,4340
ventura,US-06111,-119.0838699,34.47326,CalWIN,2016,5900,31723,39335,28114.0,1582.0,0.6245,854383,176546,199303,82290.0,14767.0,76958,0.09007435775290473,104,111,0.915312947921644,98800.0,8372
yolo,US-06113,-121.9008022,38.619495,CalWIN,2016,1406,10828,9201,5304.0,480.0,0.602506091,216866,36568,48381,12693.0,5184.0,21435,0.0988398365811146,105,113,0.912469437652812,85700.0,2045
alameda,US-06001,-121.7871814,37.680185,CalWIN,2017,11104,50519,48679,34447.0,,,1655752,328261,346873,136038.0,45115.0,110302,0.06661746445119801,107,1,0.932749562171629,123500.0,17130
butte,US-06007,-121.5660076,39.723785,C-IV,2017,2062,17677,12087,2244.0,,,226478,56416,45689,5035.0,10378.0,31826,0.14052579058451595,108,7,0.849209739427595,62900.0,2341
contra costa,US-06013,-121.717604,37.888418,CalWIN,2017,4737,27961,31871,13710.0,,,1143494,258293,251140,69051.0,23320.0,64569,0.05646640909353263,109,13,0.926044703595724,119000.0,10290
el dorado,US-06017,-120.4259625,38.78496,C-IV,2017,1273,6560,4507,752.0,,,185090,53135,36164,3116.0,2823.0,12340,0.06667026851801826,110,17,0.937275985663082,105000.0,1674
fresno,US-06019,-120.862059,36.74633,CalWIN,2017,8782,95415,119527,53200.0,,,999902,169283,280718,107477.0,41278.0,223724,0.2237459271008559,111,19,0.75093181319886,64450.0,9122
humboldt,US-06023,-123.959972,40.73356,C-IV,2017,1519,12167,7142,883.0,,,136835,33792,27901,2263.0,5236.0,20828,0.1522125187269339,112,23,0.860085227272727,68600.0,1408
imperial,US-06025,-115.058652,33.02615,C-IV,2017,3051,19230,20091,21796.0,,,189376,33277,54792,34137.0,9988.0,42372,0.2237453531598513,113,25,0.799326599326599,75000.0,1485
kern,US-06029,-118.4426011,35.29441,C-IV,2017,7901,67421,87057,34717.0,,,897727,141680,255195,84362.0,30862.0,162379,0.18087792836797822,114,29,0.793248945147679,61000.0,7347
kings,US-06031,-119.6135104,36.138775,C-IV,2017,1109,10553,12410,5356.0,,,150441,22007,45775,13954.0,4586.0,24072,0.16000957185873532,115,31,0.842539682539683,77100.0,1575
los angeles,US-06037,-117.9879672,34.26394,LRS,2017,73289,474008,538420,376091.0,,,10288515,1987419,2295832,1332866.0,374280.0,1085717,0.10552708529851004,116,37,0.888528106581653,80000.0,101631
madera,US-06039,-119.84174,37.27052,C-IV,2017,1038,10261,16653,9131.0,,,157296,30181,42323,19613.0,4467.0,27952,0.17770318380632694,117,39,0.794642857142857,65800.0,1232
marin,US-06041,-122.870429,38.068145,C-IV,2017,1341,4205,4444,3839.0,,,264413,78078,52532,9885.0,2720.0,9990,0.03778180346654665,118,41,0.953612479474548,152400.0,2436
merced,US-06047,-120.1246993,37.18687,C-IV,2017,2420,22947,29720,13709.0,,,275926,43155,79909,33572.0,10549.0,55087,0.19964410747809194,119,47,0.751279863481229,56800.0,2344
napa,US-06055,-122.5128064,38.509635,C-IV,2017,604,2512,3318,2360.0,,,142898,35591,29466,10671.0,1970.0,6434,0.045025122814874946,120,55,0.971528181289948,112000.0,1721
orange,US-06059,-117.8002615,33.66707,CalWIN,2017,21610,94185,124697,101791.0,,,3201395,650820,723961,312733.0,67526.0,240492,0.07512100193821755,121,59,0.913392326487486,103000.0,30286
placer,US-06061,-120.7858989,39.013999,CalWIN,2017,1718,8103,6464,1607.0,,,380976,100816,77003,7018.0,5003.0,16285,0.042745474780563605,122,61,0.939424533064109,102000.0,3962
riverside,US-06065,-115.0250859,33.752845,C-IV,2017,17466,120072,135592,55786.0,,,2395487,477592,598978,180207.0,58028.0,273130,0.11401856908428223,123,65,0.879179810725552,79000.0,22190
sacramento,US-06067,-121.1505311,38.383079,CalWIN,2017,11247,101425,96865,47124.0,,,1524524,295548,362411,95631.0,61582.0,209537,0.13744421209505392,124,67,0.871832884097035,80650.0,14840
san bernardino,US-06071,-116.6760973,34.840011,C-IV,2017,21239,164951,179841,60407.0,,,2168360,360581,579729,159229.0,66585.0,366031,0.16880545665848845,125,71,0.824968845587402,74000.0,17654
san diego,US-06073,-116.693716,33.019645,CalWIN,2017,25554,125134,124285,92716.0,,,3327562,660989,787752,223456.0,74300.0,274973,0.08263497419432005,126,73,0.910995636387862,94000.0,30021
san francisco,US-06075,-122.4847727,37.759845,CalWIN,2017,9768,25906,17152,21827.0,,,879517,193624,127629,98626.0,35747.0,52826,0.06006251158306207,127,75,0.939836593216143,143510.0,8078
san joaquin,US-06077,-120.9449271,37.889845,C-IV,2017,5999,46993,55568,20009.0,,,750002,132452,200170,62413.0,26463.0,108560,0.14474628067658485,128,77,0.835422504055449,73000.0,6781
san luis obispo,US-06079,-120.1080592,35.34633,CalWIN,2017,1680,8476,7292,2939.0,,,280822,78771,50028,9470.0,3913.0,17448,0.062131884254082656,129,79,0.941626409017713,97100.0,2484
san mateo,US-06081,-122.2406398,37.407705,CalWIN,2017,3503,9557,13330,11267.0,,,774974,177938,162564,55820.0,9550.0,26390,0.034052755318242936,130,81,0.972556634304207,156500.0,7725
santa barbara,US-06083,-120.0351675,34.743715,CalWIN,2017,2583,14844,20842,14114.0,,,451688,91564,100702,45877.0,7869.0,38269,0.08472441154070952,131,83,0.893985490287854,90900.0,4273
santa clara,US-06085,-121.6161794,37.18939,CalWIN,2017,10140,37812,43581,38302.0,,,1952286,379958,444642,169331.0,40724.0,91533,0.04688503631127816,132,85,0.944159602010254,146150.0,19699
santa cruz,US-06087,-122.0401593,37.06834,CalWIN,2017,2478,11573,11455,8750.0,,,278335,63450,58310,20196.0,4625.0,25506,0.09163777462410405,133,87,0.906021155410903,113000.0,2458
shasta,US-06089,-122.0883555,40.735175,C-IV,2017,1672,12855,9275,413.0,,,178359,48890,37586,2176.0,9049.0,23802,0.1334499520629741,134,89,0.870111057460164,65000.0,2071
solano,US-06095,-121.6688337,38.2894915,CalWIN,2017,3122,19457,18023,6195.0,,,439320,96492,100669,20285.0,11067.0,40602,0.09242010379677684,135,95,0.901884191176471,99000.0,4352
sonoma,US-06097,-122.7518161,38.481733,CalWIN,2017,3560,13464,14220,9052.0,,,507323,135829,98139,26059.0,8029.0,31244,0.06158601127881054,136,97,0.937432810148355,99000.0,4651
stanislaus,US-06099,-120.8981857,37.606095,C-IV,2017,4760,38928,40179,15443.0,,,551712,99859,145609,49236.0,19222.0,83867,0.15201228177019893,137,99,0.822241122687646,68000.0,4703
tulare,US-06107,-119.0889841,36.266965,CalWIN,2017,5907,49992,64931,38463.0,,,473308,75894,144428,61937.0,17521.0,120830,0.2552883112053885,138,107,0.72173124858373,53800.0,4413
ventura,US-06111,-119.0838699,34.47326,CalWIN,2017,6080,29547,35864,25344.0,,,858585,183314,197824,77750.0,14726.0,71491,0.08326607150136561,139,111,0.899599340089559,98000.0,8486
yolo,US-06113,-121.9008022,38.619495,CalWIN,2017,1435,9803,8311,4687.0,,,220171,38002,49156,13088.0,5077.0,19549,0.08879007680393876,140,113,0.891878425510713,90000.0,2007
