fips,year,AIAN NH,Asian NH,Black NH,Hispanic,MR NH,NHPI NH,White NH
6001,2010,8521,791388,370685,681755,114445,24871,1035222
6001,2011,4320,414384,183078,346867,60620,12704,514013
6001,2012,4317,434214,180991,352914,64061,12858,511358
6001,2013,4326,456999,177494,357878,67990,13046,506331
6001,2014,4354,480874,173825,362827,72098,13233,501403
6001,2015,4379,502092,170492,367191,75731,13426,496848
6001,2016,4385,519969,167370,370848,78724,13542,492494
6001,2017,4369,532439,165172,374031,80644,13687,489408
6001,2018,4351,540298,164086,377261,81722,13809,488132
6001,2019,4337,547473,163126,380444,82682,13890,486974
6001,2020,4176,545356,160507,376737,88533,13731,477641
6003,2010,419,14,0,169,45,0,1705
6003,2011,211,7,0,85,26,0,852
6003,2012,219,6,1,92,30,0,838
6003,2013,222,6,0,94,33,0,838
6003,2014,222,6,1,103,33,0,834
6003,2015,229,4,1,105,35,0,827
6003,2016,225,5,1,113,39,0,824
6003,2017,224,6,1,111,38,0,831
6003,2018,224,6,1,117,40,0,820
6003,2019,227,6,3,118,42,0,809
6003,2020,214,12,10,107,76,0,801
6005,2010,1096,799,1915,9505,1824,131,60535
6005,2011,531,388,950,4748,946,66,29493
6005,2012,542,416,996,4973,1116,71,28789
6005,2013,530,426,1027,5064,1249,73,28192
6005,2014,558,455,1102,5364,1411,73,27967
6005,2015,554,480,1123,5506,1547,68,27627
6005,2016,599,509,1214,5885,1750,76,27896
6005,2017,594,505,1236,6046,1774,79,28315
6005,2018,607,529,1299,6396,1871,84,29252
6005,2019,585,516,1297,6462,1872,79,29468
6005,2020,595,566,1242,6232,2056,80,30024
6007,2010,6834,18089,6329,62636,14275,852,331604
6007,2011,3445,9415,3365,33768,8068,443,163645
6007,2012,3439,9719,3494,36343,8960,523,161838
6007,2013,3431,9999,3606,39261,10032,565,158650
6007,2014,3440,10328,3741,42495,11185,635,156006
6007,2015,3453,10613,3854,45334,12226,704,153175
6007,2016,3460,10903,3943,47789,13106,778,150702
6007,2017,3454,11175,4014,49871,13809,793,149964
6007,2018,3457,11425,4033,51056,14155,808,149693
6007,2019,3360,11147,3924,50122,13837,746,143578
6007,2020,3071,10445,3363,50582,13472,510,140818
6009,2010,1067,1085,722,9477,2459,144,76189
6009,2011,541,551,365,4913,1300,72,37777
6009,2012,529,589,358,5561,1605,74,36796
6009,2013,533,621,362,6099,1825,74,35915
6009,2014,539,659,366,6626,2062,74,35097
6009,2015,546,689,379,7143,2277,75,34305
6009,2016,542,714,379,7656,2495,74,33505
6009,2017,530,696,375,7745,2491,72,33445
6009,2018,512,687,360,7823,2481,74,33428
6009,2019,490,666,352,7909,2475,76,33317
6009,2020,519,715,331,8086,2879,100,34941
6011,2010,595,552,337,23575,509,122,17051
6011,2011,296,270,167,11928,262,60,8373
6011,2012,299,270,170,12290,307,64,8006
6011,2013,305,275,166,12570,345,66,7737
6011,2014,305,275,166,12819,377,66,7406
6011,2015,308,278,169,13041,410,66,7183
